key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,0,"木工","RecipeLevelTable#0","",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,,0,,0,0,False,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0
1,10001,"锻冶","RecipeLevelTable#1","青铜锭",1,"铜矿",2,"锡矿",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,,0,0,False,0,50,80,67,0,0,0,0,0,"",,True,True,True,"","",False,False,0
2,10002,"锻冶","RecipeLevelTable#1","青铜手斧",1,"青铜锭",1,"枫木木材",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0
3,10003,"锻冶","RecipeLevelTable#2","青铜手半剑",1,"青铜锭",1,"枫木木材",1,"骨片",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0
4,10004,"锻冶","RecipeLevelTable#2","业余锉刀",1,"青铜锭",2,"鞣革",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0
5,10005,"锻冶","RecipeLevelTable#3","青铜铆钉",1,"青铜锭",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,,0,0,False,50,50,80,67,0,0,0,0,0,"",,True,True,True,"","",False,False,0
6,10006,"锻冶","RecipeLevelTable#3","青铜战斧",1,"青铜锭",2,"枫木木材",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0
7,10007,"锻冶","RecipeLevelTable#3","业余手钳",1,"青铜锭",1,"青铜铆钉",1,"鱼油",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0
8,10009,"锻冶","RecipeLevelTable#4","业余平斩",1,"青铜锭",1,"枫木木材",1,"鱼油",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0
9,10008,"锻冶","RecipeLevelTable#4","青铜手锯",1,"青铜锭",1,"青铜铆钉",1,"枫木木材",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0
10,10011,"锻冶","RecipeLevelTable#5","业余羊角锤",1,"青铜锭",1,"枫木木材",1,"鱼油",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0
11,10012,"锻冶","RecipeLevelTable#5","青铜横头锤",1,"青铜锭",1,"草布",1,"枫木木材",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0
12,10013,"锻冶","RecipeLevelTable#5","青铜铸甲锤",1,"青铜锭",1,"枫木木材",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0
13,10015,"锻冶","RecipeLevelTable#6","业余厨刀",1,"青铜锭",1,"枫木木材",1,"砂岩磨刀石",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0
14,10014,"锻冶","RecipeLevelTable#6","业余研钵",1,"青铜锭",2,"枫木木材",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0
15,10016,"锻冶","RecipeLevelTable#7","青铜维京剑",1,"青铜锭",1,"鞣革",1,"骨片",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0
16,10018,"锻冶","RecipeLevelTable#7","青铜雕金锤",1,"青铜锭",1,"青铜铆钉",1,"枫木木材",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0
17,10017,"锻冶","RecipeLevelTable#7","青铜双刃斧",1,"青铜锭",2,"枫木木材",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0
18,10021,"锻冶","RecipeLevelTable#8","青铜鹤嘴锄",1,"青铜锭",1,"草布",1,"枫木木材",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0
19,10020,"锻冶","RecipeLevelTable#8","青铜裁皮刀",1,"青铜锭",1,"枫木木材",1,"砂岩磨刀石",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0
20,10022,"锻冶","RecipeLevelTable#9","阴云战斧",1,"青铜战斧",1,"青铜锭",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,0,True,50,150,75,100,0,0,0,0,0,"",,False,True,True,"","",False,False,0
